,business_id,name,city,state,stars,review_count,categories
0,noByYNtDLQAra9ccqxdfDw,H&M,Santa Barbara,CA,3.0,24,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion"
1,IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,Santa Barbara,CA,4.0,389,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries"
2,nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,Santa Barbara,CA,4.5,32,"Towing, Automotive, Body Shops"
3,bYjnX_J1bHZob10DoSFkqQ,Tinkle Belle Diaper Service,Santa Barbara,CA,5.0,17,"Parenting Classes, Maternity Wear, Fashion, Education, Specialty Schools, Local Services, Home Services, Laundry Services, Child Care & Day Care, Shopping, Baby Gear & Furniture"
4,SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,Santa Barbara,CA,4.0,2404,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife"
5,QZU7TcrztBb3tXaPbVCkXg,805 Ink,Santa Barbara,CA,4.5,68,"Beauty & Spas, Tattoo"
6,25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,Santa Barbara,CA,4.5,48,"Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life"
7,xF9r1XbMvEOsJeHlmFhIvw,Weddings in Santa Barbara,Santa Barbara,CA,5.0,13,"Professional Services, Officiants, Event Planning & Services, Wedding Planning"
8,ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,Santa Barbara,CA,4.0,64,"Pizza, Restaurants"
9,VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Goleta,CA,4.0,189,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)"
10,4pS7qnjJ7_DCoJB-Enl7KA,Prop and Decor Outlet: The Tent Merchant Inc.,Santa Barbara,CA,4.0,5,"Shopping, Home & Garden, Home Decor, Props"
11,X7FQ5k29A_RRYep7TOfjtw,"Dawna Ara, DACM, LAc",Santa Barbara,CA,5.0,54,"Health & Medical, Beauty & Spas, Skin Care, Acupuncture, Massage, Traditional Chinese Medicine"
12,bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Isla Vista,CA,3.0,184,"Food, Restaurants, Chinese, Bubble Tea, Vietnamese"
